mu_r,CV_r,s,alpha,phi,strategy
300.0,0.166667,0.8,0.285714,0.005455,0
200.0,0.333333,1.1,0.571429,0.009909,0
400.0,0.055556,1.4,0.857143,0.014364,0
150.0,0.222222,1.7,1.142857,0.018818,1
350.0,0.388889,0.56,1.428571,0.023273,1
250.0,0.111111,0.86,1.714286,0.027727,1
450.0,0.277778,1.16,0.040816,0.032182,2
125.0,0.444444,1.46,0.326531,0.036636,2
325.0,0.018519,1.76,0.612245,0.041091,2
225.0,0.185185,0.62,0.897959,0.045545,3
425.0,0.351852,0.92,1.183673,0.001405,3
175.0,0.074074,1.22,1.469388,0.00586,3
375.0,0.240741,1.52,1.755102,0.010314,0
275.0,0.407407,1.82,0.081633,0.014769,0
475.0,0.12963,0.68,0.367347,0.019223,0
112.5,0.296296,0.98,0.653061,0.023678,0
312.5,0.462963,1.28,0.938776,0.028132,1
212.5,0.037037,1.58,1.22449,0.032587,1
412.5,0.203704,1.88,1.510204,0.037041,1
162.5,0.37037,0.74,1.795918,0.041496,2
362.5,0.092593,1.04,0.122449,0.04595,2
262.5,0.259259,1.34,0.408163,0.00181,2
462.5,0.425926,1.64,0.693878,0.006264,3
137.5,0.148148,1.94,0.979592,0.010719,3
337.5,0.314815,0.512,1.265306,0.015174,3
237.5,0.481481,0.812,1.55102,0.019628,0
437.5,0.006173,1.112,1.836735,0.024083,0
187.5,0.17284,1.412,0.163265,0.028537,0
387.5,0.339506,1.712,0.44898,0.032992,0
287.5,0.061728,0.572,0.734694,0.037446,1
487.5,0.228395,0.872,1.020408,0.041901,1
106.25,0.395062,1.172,1.306122,0.046355,1
306.25,0.117284,1.472,1.591837,0.002215,2
206.25,0.283951,1.772,1.877551,0.006669,2
406.25,0.450617,0.632,0.204082,0.011124,2
156.25,0.024691,0.932,0.489796,0.015579,3
356.25,0.191358,1.232,0.77551,0.020033,3
256.25,0.358025,1.532,1.061224,0.024488,3
456.25,0.080247,1.832,1.346939,0.028942,0
131.25,0.246914,0.692,1.632653,0.033397,0
331.25,0.41358,0.992,1.918367,0.037851,0
231.25,0.135802,1.292,0.244898,0.042306,0
431.25,0.302469,1.592,0.530612,0.04676,1
181.25,0.469136,1.892,0.816327,0.00262,1
381.25,0.04321,0.752,1.102041,0.007074,1
281.25,0.209877,1.052,1.387755,0.011529,2
481.25,0.376543,1.352,1.673469,0.015983,2
118.75,0.098765,1.652,1.959184,0.020438,2
318.75,0.265432,1.952,0.005831,0.024893,3
218.75,0.432099,0.524,0.291545,0.029347,3
418.75,0.154321,0.824,0.577259,0.033802,3
168.75,0.320988,1.124,0.862974,0.038256,0
368.75,0.487654,1.424,1.148688,0.042711,0
268.75,0.012346,1.724,1.434402,0.047165,0
468.75,0.179012,0.584,1.720117,0.003025,1
143.75,0.345679,0.884,0.046647,0.007479,1
343.75,0.067901,1.184,0.332362,0.011934,1
243.75,0.234568,1.484,0.618076,0.016388,1
443.75,0.401235,1.784,0.90379,0.020843,2
193.75,0.123457,0.644,1.189504,0.025298,2
393.75,0.290123,0.944,1.475219,0.029752,2
293.75,0.45679,1.244,1.760933,0.034207,3
493.75,0.030864,1.544,0.087464,0.038661,3
103.125,0.197531,1.844,0.373178,0.043116,3
303.125,0.364198,0.704,0.658892,0.04757,0
203.125,0.08642,1.004,0.944606,0.00343,0
403.125,0.253086,1.304,1.230321,0.007884,0
153.125,0.419753,1.604,1.516035,0.012339,1
353.125,0.141975,1.904,1.801749,0.016793,1
253.125,0.308642,0.764,0.12828,0.021248,1
453.125,0.475309,1.064,0.413994,0.025702,1
128.125,0.049383,1.364,0.699708,0.030157,2
328.125,0.216049,1.664,0.985423,0.034612,2
228.125,0.382716,1.964,1.271137,0.039066,2
428.125,0.104938,0.536,1.556851,0.043521,3
178.125,0.271605,0.836,1.842566,0.047975,3
378.125,0.438272,1.136,0.169096,0.003835,3
278.125,0.160494,1.436,0.45481,0.008289,0
478.125,0.32716,1.736,0.740525,0.012744,0
115.625,0.493827,0.596,1.026239,0.017198,0
315.625,0.002058,0.896,1.311953,0.021653,1
215.625,0.168724,1.196,1.597668,0.026107,1
415.625,0.335391,1.496,1.883382,0.030562,1
165.625,0.057613,1.796,0.209913,0.035017,1
365.625,0.22428,0.656,0.495627,0.039471,2
265.625,0.390947,0.956,0.781341,0.043926,2
465.625,0.113169,1.256,1.067055,0.04838,2
140.625,0.279835,1.556,1.35277,0.00424,3
