N,mu_r,cv_r,s,strategy,f1_1-P_conn,f2_N/Nmax,f3_phi,f4_1-E/E0,P_conn,feasible
254.2,287.5,0.002,2.0,1,0.020979,0.127102,0.025306,0.050612,0.979021,1
206.5,292.6,0.0,1.939,1,0.091413,0.103229,0.021668,0.043336,0.908587,1
219.4,293.8,0.001,1.834,1,0.088153,0.109702,0.023309,0.046618,0.911847,1
240.7,289.2,0.0,1.988,1,0.036767,0.120348,0.024388,0.048775,0.963233,1
225.4,292.0,0.002,1.853,1,0.065619,0.112679,0.02351,0.04702,0.934381,1
176.7,286.6,0.003,2.0,1,0.191484,0.088368,0.017433,0.034866,0.808516,1
228.7,290.7,0.022,1.896,1,0.05585,0.114334,0.023522,0.047044,0.94415,1
194.4,287.1,0.0,2.0,1,0.145015,0.097203,0.019268,0.038536,0.854985,1
223.1,294.4,0.001,1.793,1,0.076908,0.111561,0.023851,0.047703,0.923092,1
188.3,291.2,0.0,1.987,1,0.166835,0.094168,0.019479,0.038958,0.833165,1
246.9,289.0,0.005,1.976,1,0.024578,0.123427,0.02495,0.049899,0.975422,1
176.0,288.2,0.0,1.918,1,0.199488,0.088022,0.017658,0.035316,0.800512,1
204.0,287.7,0.002,1.98,1,0.127546,0.102014,0.020348,0.040696,0.872454,1
241.4,292.6,0.002,1.927,1,0.032708,0.120709,0.025337,0.050674,0.967292,1
227.5,292.4,0.001,1.85,1,0.05256,0.113742,0.023816,0.047632,0.94744,1
197.7,288.2,0.0,1.967,1,0.129577,0.098836,0.019828,0.039655,0.870423,1
204.3,287.9,0.003,1.978,1,0.115863,0.102169,0.020418,0.040835,0.884137,1
231.7,292.6,0.0,1.864,1,0.044682,0.115867,0.02432,0.048641,0.955318,1
191.3,290.4,0.015,1.935,1,0.161613,0.095653,0.019633,0.039267,0.838387,1
209.3,290.8,0.031,1.898,1,0.103178,0.104626,0.021564,0.043128,0.896822,1
233.1,290.6,0.005,1.976,1,0.045532,0.116536,0.023962,0.047924,0.954468,1
252.6,289.5,0.0,1.935,1,0.022892,0.126281,0.025664,0.051329,0.977108,1
253.6,289.4,0.002,2.0,1,0.016658,0.126813,0.025762,0.051523,0.983342,1
246.5,290.0,0.0,1.96,1,0.027854,0.123237,0.025179,0.050358,0.972146,1
